"","시군구코드","시군구명","City County District"
"162","51810","인제군","Inje-gun"
"163","51820","고성군","Goseong-gun"
"164","51830","양양군","Yangyang-gun"
"165","43","충청북도","Chungcheongbuk-do"
"166","43110","청주시","Cheongju-si"
"167","43111","상당구","Sangdang-gu"
"168","43112","서원구","Seowon-gu"
"169","43113","흥덕구","Heungdeok-gu"
"170","43114","청원구","Cheongwon-gu"
"171","43130","충주시","Chungju-si"
"172","43150","제천시","Jecheon-si"
"173","43720","보은군","Boeun-gun"
"174","43730","옥천군","Okcheon-gun"
"175","43740","영동군","Yeongdong-gun"
"176","43745","증평군","Jeungpyeong-gun"
"177","43750","진천군","Jincheon-gun"
"178","43760","괴산군","Goesan-gun"
"179","43770","음성군","Eumseong-gun"
"180","43800","단양군","Danyang-gun"
"181","44","충청남도","Chungcheongnam-do"
"182","44130","천안시","Cheonan-si"
"183","44131","동남구","dongnam-gu"
"184","44133","서북구","seobuk-gu"
"185","44150","공주시","Gongju-si"
"186","44180","보령시","Boryeong-si"
"187","44200","아산시","Asan-si"
"188","44210","서산시","Seosan-si"
"189","44230","논산시","Nonsan-si"
"190","44250","계룡시","Gyerong-si"
"191","44270","당진시","Dangjin-si"
"192","44710","금산군","Geumsan-gun"
"193","44760","부여군","Buyeo-gun"
"194","44770","서천군","Seocheon-gun"
"195","44790","청양군","Cheongyang-gun"
"196","44800","홍성군","Hongseong-gun"
"197","44810","예산군","Yesan-gun"
"198","44825","태안군","Taean-gun"
"199","52","전북특별자치도","Jeollabuk-do"
"200","52110","전주시","Jeonju-si"
"201","52111","완산구","Wansan-gu"
"202","52113","덕진구","Deokjin-gu"
"203","52130","군산시","Gunsan-si"
"204","52140","익산시","Iksan-si"
"205","52180","정읍시","Jeongeup-si"
"206","52190","남원시","Namwon-si"
"207","52210","김제시","Gimje-si"
"208","52710","완주군","Wanju-gun"
"209","52720","진안군","Jinan-gun"
"210","52730","무주군","Muju-gun"
"211","52740","장수군","Jangsu-gun"
"212","52750","임실군","Imsil-gun"
"213","52770","순창군","Sunchang-gun"
"214","52790","고창군","Gochang-gun"
"215","52800","부안군","Buan-gun"
"216","46","전라남도","Jeollanam-do"
"217","46110","목포시","Mokpo-si"
"218","46130","여수시","Yeosu-si"
"219","46150","순천시","Suncheon-si"
"220","46170","나주시","Naju-si"
"221","46230","광양시","Gwangyang-si"
"222","46710","담양군","Damyang-gun"
"223","46720","곡성군","Gokseong-gun"
"224","46730","구례군","Gurye-gun"
"225","46770","고흥군","Goheung-gun"
"226","46780","보성군","Boseong-gun"
"227","46790","화순군","Hwasun-gun"
"228","46800","장흥군","Jangheung-gun"
"229","46810","강진군","Gangjin-gun"
"230","46820","해남군","Haenam-gun"
"231","46830","영암군","Yeongam-gun"
"232","46840","무안군","Muan-gun"
"233","46860","함평군","Hampyeong-gun"
"234","46870","영광군","Yeonggwang-gun"
"235","46880","장성군","Jangseong-gun"
"236","46890","완도군","Wando-gun"
"237","46900","진도군","Jindo-gun"
"238","46910","신안군","Sinan-gun"
"239","47","경상북도","Gyeongsangbuk-do"
"240","47110","포항시","Pohang-si"
"241","47111","남구","Nam-gu"
"242","47113","북구","Buk-gu"
"243","47130","경주시","Gyeongju-si"
"244","47150","김천시","Gimcheon-si"
"245","47170","안동시","Andong-si"
"246","47190","구미시","Gumi-si"
"247","47210","영주시","Yeongju-si"
"248","47230","영천시","Yeongcheon-si"
"249","47250","상주시","Sangju-si"
"250","47280","문경시","Mungyeong-si"
"251","47290","경산시","Gyeongsan-si"
"252","47730","의성군","Uiseong-gun"
"253","47750","청송군","Cheongsong-gun"
"254","47760","영양군","Yeongyang-gun"
"255","47770","영덕군","Yeongdeok-gun"
"256","47820","청도군","Cheongdo-gun"
"257","47830","고령군","Goryeong-gun"
"258","47840","성주군","Seongju-gun"
"259","47850","칠곡군","Chilgok-gun"
"260","47900","예천군","Yecheon-gun"
"261","47920","봉화군","Bonghwa-gun"
"262","47930","울진군","Uljin-gun"
"263","47940","울릉군","Ulleung-gun"
"264","48","경상남도","Gyeongsangnam-do"
"265","48120","창원시","Changwon-si"
"266","48121","의창구","Uichang-gu"
"267","48123","성산구","Seongsan-gu"
"268","48125","마산합포구","Masanhappo-gu"
"269","48127","마산회원구","Masanhoewon-gu"
"270","48129","진해구","Jinhae-gu"
"271","48170","진주시","Jinju-si"
"272","48220","통영시","Tongyeong-si"
"273","48240","사천시","Sacheon-si"
"274","48245","사천남양출장소","Sacheon namyang branch office"
"275","48250","김해시","Gimhae-si"
"276","48252","장유출장소","Jangyu branch office"
"277","48270","밀양시","Miryang-si"
"278","48310","거제시","Geoje-si"
"279","48330","양산시","Yangsan-si"
"280","48332","양산시웅상출장소","Yangsan-si ungsang branch office"
"281","48720","의령군","Uiryeong-gun"
"282","48730","함안군","Haman-gun"
"283","48740","창녕군","Changnyeong-gun"
"284","48820","고성군","Goseong-gun"
"285","48840","남해군","Namhae-gun"
"286","48850","하동군","Ha-dong"
"287","48860","산청군","Sancheong-gun"
"288","48870","함양군","Hamyang-gun"
"289","48880","거창군","Geochang-gun"
"290","48890","합천군","Hapcheon-gun"
"291","50","제주특별자치도","Jeju-do"
"292","50110","제주시","Jeju-si"
"293","50130","서귀포시","Seogwipo-si"
