"","기대수명","2025 p)","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970"
"1","전체",NA,83.7,83.5,82.7,83.6,83.5,83.3,82.7,82.7,82.4,82.1,81.8,81.4,80.9,80.6,80.2,80,79.6,79.2,78.8,78.2,77.8,77.3,76.8,76.5,76,75.5,75.1,74.7,74.2,73.8,73.5,73.1,72.6,72.2,71.7,71.2,70.7,70.1,69.5,68.9,68.3,67.7,67.2,66.7,66.1,65.6,65.3,65,64.6,64.2,63.9,63.5,63.1,62.7,62.3
"2","남자",NA,80.8,80.6,79.9,80.6,80.5,80.3,79.7,79.7,79.3,79,78.6,78.1,77.6,77.3,76.8,76.7,76.2,75.9,75.4,74.9,74.3,73.8,73.4,72.9,72.3,71.8,71.2,70.7,70.2,69.7,69.3,68.9,68.4,67.9,67.5,67,66.5,65.9,65.3,64.6,64,63.4,62.9,62.4,61.9,61.4,61.1,60.9,60.6,60.3,60,59.7,59.4,59.1,58.7
"3","여자",NA,86.6,86.4,85.6,86.6,86.5,86.3,85.7,85.7,85.4,85.2,85,84.6,84.2,84,83.6,83.4,83,82.5,82.1,81.6,81.2,80.8,80.3,80.1,79.7,79.2,79,78.7,78.3,77.9,77.7,77.3,76.8,76.4,75.9,75.3,74.8,74.3,73.8,73.2,72.6,71.9,71.5,70.9,70.4,69.9,69.5,69.1,68.6,68.2,67.8,67.3,66.8,66.3,65.8
