"전출지별","전입지별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년","1999 년","1998 년","1997 년","1996 년","1995 년","1994 년","1993 년","1992 년","1991 년","1990 년","1989 년","1988 년","1987 년","1986 년","1985 년","1984 년","1983 년","1982 년","1981 년","1980 년","1979 년","1978 년","1977 년","1976 년","1975 년","1974 년","1973 년","1972 년","1971 년","1970 년",
"전국","강원특별자치도","순이동자수[명]","명","-1387","-2527","-1397","7494","6681","5457","1661","-3854","2035","1892","4773","2085","2986","712","4653","555","1818","1310","-6146","-9560","-11473","-8342","-13063","-17181","-8113","-11134","-3798","8890","-922","-7870","-9350","-18471","-24586","-24845","-38030","-47637","-57933","-52482","-45132","-33499","-28504","-42202","-44683","-29808","-22376","-24510","-50280","-50777","-45713","-41882","-60210","-49300","-35802","-30734","-34994","-36222",
"전국","충청북도","이동자수[명]","명","199201","189758","186341","185419","214300","229895","211396","218886","197177","202679","214626","215944","215973","212263","228594","235671","232872","244672","253433","245977","235907","231167","246415","243571","230828","235155","255180","232414","252139","234598","249033","227781","242162","244908","258597","263415","224484","225487","223845","222294","226908","222296","230425","207913","199751","227621","167420","182753","163716","164008","246251","125958","122988","99573","111901","100041",
"전국","충청북도","순이동자수[명]","명","10789","3245","3873","5201","3462","3454","2565","5149","2262","5011","1438","2367","3113","4641","8079","5964","2521","6913","5692","1750","-4708","-5817","-6081","-8202","-8528","-4404","-1446","5542","4924","5624","3771","-3569","1684","28","-11131","-17579","-29026","-33900","-34712","-28581","-33530","-45698","-44999","-40296","-37673","-38585","-56244","-84617","-56369","-49003","-78248","-40750","-33921","-24957","-44692","-47875",
"전국","충청남도","이동자수[명]","명","251857","266831","266056","260488","282195","287127","258790","292305","288738","286764","289952","289627","281428","287195","321187","317853","329626","355294","355213","336866","325444","364482","312739","274820","266541","265599","280280","262993","283331","258224","253838","214126","221321","205298","221453","225074","218897","479092","453191","429259","434868","461768","466795","397886","384250","405973","327162","384579","341491","292314","482034","217167","239750","190175","205632","192979",
"전국","충청남도","순이동자수[명]","명","8266","14664","15840","14314","8522","741","-794","10084","19401","15318","10272","9810","13375","9849","18641","16178","12115","15529","13363","7055","4999","34983","2682","-13625","-11628","-7742","-2915","9365","14100","12187","1915","-20627","-24259","-28290","-45444","-53746","-60627","-41199","-42602","-33187","-36013","-54868","-57748","-49157","-51106","-38722","-45182","-37483","-43393","-51981","-80524","-51328","-38158","-22371","-50341","-47262",
"전국","전북특별자치도","이동자수[명]","명","195095","198792","188788","199432","223710","249083","228775","243324","232047","248188","261832","274337","258198","271835","308011","305789","314137","322495","332957","327237","311537","329911","397299","338554","370943","350628","366647","345687","325923","319791","361364","302520","315824","347781","335219","342446","324263","346268","336104","320907","332232","325918","359443","328446","341182","334630","257738","302745","271557","236947","368163","173873","185754","153347","165843","136856",
"전국","전북특별자치도","순이동자수[명]","명","-3575","-6060","-4457","-5115","-5801","-8494","-12748","-13773","-7206","-4419","-2830","-2563","-2197","-3291","1721","-2448","-4806","-10550","-10874","-19162","-24477","-50969","-3039","-56735","-1911","-21590","-10449","-2269","-14597","-14371","-10115","-22929","-25990","-30761","-42298","-53340","-63258","-59637","-65908","-59315","-60107","-74678","-73269","-59435","-47923","-71224","-83574","-94771","-81468","-86763","-137347","-71645","-53076","-37017","-74495","-91270",
"전국","전라남도","이동자수[명]","명","185748","183834","183557","191956","223619","239016","224483","224384","227504","234132","250104","260278","244329","239026","261239","265600","281051","277906","287179","284276","284412","276573","326582","316647","320992","325511","355423","331140","293862","302707","331240","263849","295599","313436","320000","342318","322329","353613","373887","341022","577823","578625","653216","556325","555593","603459","467410","530257","460561","426056","572277","313318","301023","218180","243793","177536",
"전국","전라남도","순이동자수[명]","명","1334","-3988","-1800","-345","-4487","-9754","-8788","-8030","-3047","-3205","3936","-596","-2306","-5054","-5222","-10061","-7425","-13318","-16573","-24685","-20007","-32252","-36103","-46152","-36424","-33538","-24153","1237","-21590","-19522","-19164","-46442","-59255","-76533","-100570","-100070","-104178","-108839","-103978","-76907","-61356","-79791","-85868","-66954","-64538","-82773","-86252","-90449","-76770","-71088","-133291","-83974","-59451","-41002","-85649","-86372",
"전국","경상북도","이동자수[명]","명","259920","278273","254287","263156","317866","317701","306511","309446","311061","315652","344730","337041","329118","335362","363511","354575","367244","363297","380925","391486","374711","360764","371006","384589","380826","380638","424035","388186","395678","416050","419925","392828","421328","412622","449029","437000","402478","440750","456629","424060","397346","400881","438685","403659","441825","1004311","907292","947641","855263","739579","1241147","585406","605014","519508","470732","407643",
"전국","경상북도","순이동자수[명]","명","-9214","-8003","-8205","-7666","3337","-16978","-4571","-9225","-5581","-3151","-577","-988","-1865","-4860","4816","-3552","-8307","-14100","-14611","-3319","-11517","-26921","-36833","-31278","-21305","-25706","-13205","573","-6215","5548","-4608","-18383","-15509","-29832","-47308","-49953","-72807","-72206","-64620","-65546","-78713","-103114","-101391","-94141","-77782","-42492","-49378","-62378","-61277","-58531","-83254","-27208","-25200","-13590","-57379","-62499",
"전국","경상남도","이동자수[명]","명","326535","329398","300309","323211","374782","403339","396251","389714","413179","411952","455384","462239","427658","414556","473757","481955","485349","487356","491542","496713","493352","474081","523882","514140","458485","463895","490751","488910","459955","683550","679704","684247","656486","746907","723250","704656","638537","675152","686554","608659","608176","651485","656220","598107","566967","572251","535159","564057","457139","386917","514805","358116","282238","196534","214358","212521",
"전국","경상남도","순이동자수[명]","명","-7577","-9069","-16300","-18547","-13703","-16658","-9310","-5810","3979","1772","5105","6075","3794","-2772","4534","3246","11239","13029","7943","1294","5619","-5611","4288","6896","-5166","-8512","-9375","8567","532","19704","13664","20017","10806","24812","21856","18390","-10518","-11556","-20418","-40145","-30189","-17476","-19820","-14298","-25836","-39683","-31492","-45105","-52227","-95125","-116412","-55326","-59260","-47696","-83934","-87276",
