"A 행정구역(시군구)별",Y2025 2025
"48740 창녕군",31769
"48820 고성군",26339
"48840 남해군",22755
"48850 하동군",23252
"48860 산청군",19556
"48870 함양군",20242
"48880 거창군",31183
"48890 합천군",23407
"50 제주특별자치도",315462
"50110 제주시",226663
"50130 서귀포시",88799
