"행정구역(시군구)별","항목","단위","2026.02 월","2026.01 월","2025.12 월","2025.11 월","2025.10 월","2025.09 월","2025.08 월","2025.07 월","2025.06 월","2025.05 월","2025.04 월","2025.03 월","2025.02 월","2025.01 월","2024.12 월","2024.11 월","2024.10 월","2024.09 월","2024.08 월","2024.07 월","2024.06 월","2024.05 월","2024.04 월","2024.03 월","2024.02 월","2024.01 월","2023.12 월","2023.11 월","2023.10 월","2023.09 월","2023.08 월","2023.07 월","2023.06 월","2023.05 월","2023.04 월","2023.03 월","2023.02 월","2023.01 월","2022.12 월","2022.11 월","2022.10 월","2022.09 월","2022.08 월","2022.07 월","2022.06 월","2022.05 월","2022.04 월","2022.03 월","2022.02 월","2022.01 월","2021.12 월","2021.11 월","2021.10 월","2021.09 월","2021.08 월","2021.07 월","2021.06 월","2021.05 월","2021.04 월","2021.03 월","2021.02 월","2021.01 월","2020.12 월","2020.11 월","2020.10 월","2020.09 월","2020.08 월","2020.07 월","2020.06 월","2020.05 월","2020.04 월","2020.03 월","2020.02 월","2020.01 월","2019.12 월","2019.11 월","2019.10 월","2019.09 월","2019.08 월","2019.07 월","2019.06 월","2019.05 월","2019.04 월","2019.03 월","2019.02 월","2019.01 월","2018.12 월","2018.11 월","2018.10 월","2018.09 월","2018.08 월","2018.07 월","2018.06 월","2018.05 월","2018.04 월","2018.03 월","2018.02 월","2018.01 월","2017.12 월","2017.11 월","2017.10 월","2017.09 월","2017.08 월","2017.07 월","2017.06 월","2017.05 월","2017.04 월","2017.03 월","2017.02 월","2017.01 월","2016.12 월","2016.11 월","2016.10 월","2016.09 월","2016.08 월","2016.07 월","2016.06 월","2016.05 월","2016.04 월","2016.03 월","2016.02 월","2016.01 월","2015.12 월","2015.11 월","2015.10 월","2015.09 월","2015.08 월","2015.07 월","2015.06 월","2015.05 월","2015.04 월","2015.03 월","2015.02 월","2015.01 월","2014.12 월","2014.11 월","2014.10 월","2014.09 월","2014.08 월","2014.07 월","2014.06 월","2014.05 월","2014.04 월","2014.03 월","2014.02 월","2014.01 월","2013.12 월","2013.11 월","2013.10 월","2013.09 월","2013.08 월","2013.07 월","2013.06 월","2013.05 월","2013.04 월","2013.03 월","2013.02 월","2013.01 월","2012.12 월","2012.11 월","2012.10 월","2012.09 월","2012.08 월","2012.07 월","2012.06 월","2012.05 월","2012.04 월","2012.03 월","2012.02 월","2012.01 월","2011.12 월","2011.11 월","2011.10 월","2011.09 월","2011.08 월","2011.07 월","2011.06 월","2011.05 월","2011.04 월","2011.03 월","2011.02 월","2011.01 월",
"화천군","세대수[세대]","세대","11945","11969","11979","11969","11980","12003","12002","12001","11965","11995","11972","11972","11967","11999","12055","12080","12077","12071","12082","12091","12038","11950","11976","11978","11970","12011","12052","12073","12108","12095","12098","12103","12110","12094","12017","12005","12049","12071","12114","12192","12243","12303","12350","12392","12447","12481","12495","12510","12519","12529","12556","12580","12583","12599","12610","12624","12632","12618","12634","12688","12771","12813","12862","12856","12859","12779","12726","12671","12623","12564","12506","12506","12510","12560","12603","12600","12410","12326","12380","12431","12498","12533","12551","12534","12526","12570","12564","12600","12647","12679","12717","12742","12849","12897","12935","12951","12970","13044","13065","13095","13126","13156","13194","13257","13404","13168","13210","13203","13061","13141","13207","13252","13266","13308","13363","13463","13487","13405","13448","13503","13572","13616","13668","13685","13701","13746","13752","13826","13433","13311","13258","13271","13341","13380","13474","12083","11646","11630","11637","11647","11690","11684","11666","11676","11682","11692","11734","11559","11546","11580","11593","11612","11668","11648","11654","11680","11667","11691","11686","11698","11654","11650","11618","11650","11702","11716","11694","11708","11684","11695","11716","11613","11592","11531","11505","11421","11392","11404","11418","11384","11332","11355",
"양구군","세대수[세대]","세대","10363","10387","10392","10403","10412","10405","10382","10378","10333","10337","10346","10336","10346","10375","10367","10367","10393","10427","10462","10482","10486","10477","10488","10534","10536","10537","10544","10560","10568","10585","10608","10625","10645","10660","10651","10657","10638","10624","10609","10589","10610","10605","10661","10651","10659","10671","10674","10667","10666","10666","10660","10682","10694","10677","10692","10691","10708","10741","10775","10789","10828","10824","10828","10842","10722","10726","10723","10671","10691","10680","10679","10693","10709","10764","10840","10896","10960","11001","11026","11046","11091","10981","10982","11013","11003","11029","11058","11045","11066","11078","11090","11156","11240","11224","11218","11245","11277","11318","11340","11349","11326","11350","11359","11363","11447","11314","11324","11315","11313","11327","11355","11273","11259","11264","11239","11223","11280","11110","11129","11127","11150","11155","11140","11139","11107","11128","11112","11138","11162","10772","10734","10730","10735","10750","10778","10540","10534","10535","10542","10552","10584","10595","10578","10541","10491","10488","10507","10481","10440","10375","10369","10362","10343","10307","10283","10253","10144","10089","10051","10000","10016","10020","10007","10040","10036","9947","9922","9867","9810","9774","9775","9783","9745","9667","9645","9571","9401","9398","9373","9372","9352","9355",
"인제군","세대수[세대]","세대","16579","16597","16599","16586","16604","16575","16565","16567","16595","16591","16608","16608","16629","16669","16709","16694","16724","16748","16777","16774","16788","16772","16771","16751","16762","16804","16787","16756","16743","16789","16788","16751","16737","16709","16723","16698","16661","16654","16631","16562","16555","16569","16566","16531","16494","16485","16479","16440","16416","16405","16380","16324","16277","16261","16262","16233","16147","16012","15937","15913","15976","15975","15900","15837","15799","15790","15758","15710","15702","15693","15649","15608","15572","15580","15583","15565","15502","15438","15443","15490","15531","15536","15524","15513","15516","15540","15550","15548","15537","15564","15573","15568","15609","15496","15493","15513","15507","15535","15523","15497","15446","15426","15425","15406","15416","15408","15393","15425","15411","15432","15426","15450","15463","15440","15438","15460","15479","15521","15519","15552","15563","15593","15594","15582","15620","15619","15591","15584","15608","15345","15290","15218","15140","15078","14613","14506","14510","14526","14513","14522","14547","14558","14550","14553","14459","14440","14474","14454","14435","14447","14440","14445","14415","14413","14376","14327","14310","14345","14348","14360","14349","14346","14304","14266","14187","14108","14090","14048","13943","13934","13935","13887","13539","13488","13495","13468","13443","13465","13459","13458","13452","13490",
"고성군","세대수[세대]","세대","15395","15336","15317","15314","15324","15322","15306","15329","15332","15324","15315","15300","15287","15302","15331","15336","15315","15330","15344","15368","15398","15400","15392","15404","15413","15435","15431","15443","15454","15437","15416","15399","15389","15326","15282","15272","15273","15244","15291","15289","15315","15233","15207","15222","15210","15218","15192","15166","15147","15094","15064","14971","14902","14863","14857","14801","14754","14715","14662","14624","14577","14543","14546","14545","14528","14507","14499","14475","14462","14438","14422","14444","14418","14423","14445","14419","14421","14421","14469","14494","14546","14587","14651","14684","14669","14715","14763","14744","14786","14828","14842","14888","14982","15016","15044","15095","15136","15221","15519","14927","14958","15017","15049","15101","15159","15047","15045","15044","15061","15172","15377","15022","14994","15034","15043","15143","15195","15038","15050","15038","15035","15158","15324","15111","15130","15180","15250","15345","15485","15313","15295","15313","15178","15253","15408","15211","15206","15249","15276","15312","15371","15336","15274","15223","15213","15283","15377","15280","15155","15126","15075","14964","14945","14777","14735","14540","14497","14576","14663","14621","14611","14640","14645","14665","14683","14739","14669","14628","14313","14206","14248","14211","14179","14239","14213","14101","14145","14105","14093","14086","13880","13911",
"양양군","세대수[세대]","세대","15005","14949","14924","14920","14913","14930","14910","14923","14919","14948","14966","14990","15004","14980","15000","15002","15035","15052","15042","15045","15047","15029","15035","15039","15069","15038","15039","15024","15048","15043","15027","15056","15031","15027","15020","15006","14971","14936","14948","14914","14903","14914","14941","14898","14899","14869","14854","14841","14790","14763","14759","14765","14781","14755","14734","14706","14657","14613","14568","14573","14571","14550","14549","14502","14498","14452","14378","14354","14295","14219","14141","14119","14096","14099","14081","14067","14069","14024","13997","13968","13941","13916","13860","13806","13786","13730","13693","13601","13600","13585","13583","13567","13563","13558","13549","13558","13543","13534","13526","13518","13488","13482","13470","13459","13436","13437","13426","13399","13382","13386","13402","13415","13410","13389","13414","13432","13397","13349","13349","13344","13361","13384","13374","13370","13344","13345","13307","13304","13304","13307","13294","13257","13257","13233","13229","13201","13210","13231","13227","13237","13263","13263","13194","13166","13141","13124","13133","13049","12981","12981","12987","12965","12962","12935","12934","12886","12893","12872","12885","12891","12884","12868","12860","12868","12822","12820","12779","12744","12741","12786","12783","12770","12767","12752","12747","12705","12651","12624","12632","12592","12550","12564",
"충청북도","세대수[세대]","세대","799712","798233","797797","796183","795498","794981","794160","793580","792609","792075","791497","790802","789271","787774","787756","787316","786482","786310","785621","785504","785163","784163","782921","782031","779904","779404","779967","779978","779850","779770","779442","778481","777614","776795","776038","775386","773184","772155","771848","771562","771479","770996","771190","770205","769180","768171","767041","766005","763610","761737","760672","759106","757980","756520","755059","753893","752237","750635","748975","747313","747979","746441","745644","742087","739808","738094","736095","734112","732285","729270","726381","725289","723931","722726","722123","720502","719331","718156","717109","716157","715349","714536","712948","711096","709629","708227","707220","705471","703916","702050","701080","699892","698885","698422","697265","695818","694078","692679","692140","690667","689392","688650","687749","687053","686253","685528","684619","683554","682752","681465","680960","679666","678407","677457","676658","676000","675264","674425","673166","671877","670655","669809","669503","668138","667449","666078","665376","664809","664186","662079","660866","659567","657940","656801","656321","655495","654639","653584","652347","651236","650157","649024","648047","646129","645224","644187","644062","643305","642674","641351","640589","639976","639082","637656","636719","635413","634382","633577","633166","632639","632225","631133","630073","629362","631512","630872","630148","629236","628007","627258","627006","626388","625535","624389","623266","622442","621811","621172","620407","619493","618733","617718",
"청주시","세대수[세대]","세대","410956","409626","409218","409538","409351","408963","408498","408025","407186","406900","406571","406298","405899","404700","404569","404286","403792","403675","403371","403155","402662","401872","400920","400215","399553","399065","399092","399172","399081","398876","398522","397420","396675","396053","395666","395289","394735","394037","393697","393441","393328","393108","392944","392190","391641","390956","390277","389667","388842","387653","387016","386601","385986","385294","383974","383130","381928","380651","379553","378681","378518","377306","376252","374229","372888","371933","370694","369542","368270","366116","364344","363440","362204","361221","360496","359895","359510","358906","358372","357781","357424","357033","356330","355827","355258","354258","353320","352556","351804","350699","349977","349352","348896","348709","348272","347781","346966","346392","346000","345527","345248","344941","344670","344511","344233","344046","343728","343568","343084","342148","341596","341089","340593","340210","339801","339460","339081","338663","338191","337891","337349","336715","336408","335986","335591","334825","334560","334367","334276","332869","332441","332092","331563","330944","330551","330242","329661","329147","328543","327870","261882","261473","261198","260554","260144","259654","259455","259002","258733","258304","257963","257649","257196","256366","256052","255501","254927","254566","254271","254056","253920","253522","253201","252939","252688","252473","252325","252113","251817","251360","251174","250883","250684","250273","250055","249856","249722","249554","249342","248944","248727","248121",
"상당구","세대수[세대]","세대","89431","89237","89179","89305","89381","89541","89657","89691","89644","89724","89744","89712","89659","89661","89601","89564","89625","89670","89692","89697","89756","89805","89900","90001","89941","89880","89763","89712","89705","89621","89442","88803","88551","88344","88188","88027","87872","87576","87184","86780","86678","86354","85859","85614","85421","85287","85257","85208","85064","84726","84548","84461","84261","84084","83858","83741","83616","83394","83228","83044","82830","81879","81185","80613","80100","79118","78419","77927","77274","76250","75769","75353","74752","74371","73870","73731","73697","73708","73683","73705","73633","73598","73486","73319","73106","72758","72401","72052","71338","70312","70250","70263","70190","70158","70095","69975","69720","69650","69624","69531","69524","69478","69485","69517","69580","69688","69767","69894","70008","70109","70130","70128","70098","70113","70092","70117","70170","70219","70214","70232","70274","70368","70468","70539","70540","70611","70690","70748","70873","70723","70735","70833","70870","70874","70847","70913","70824","70595","70526","70378","96754","96453","96068","95388","95194","94957","94768","94220","93919","93616","93418","93167","92692","92247","92168","91828","91616","91547","91519","91581","91612","91531","91508","91557","91619","91607","91577","91602","91593","91494","91521","91464","91426","91312","91264","91264","91255","91259","91285","91285","91276","91103",
"서원구","세대수[세대]","세대","90635","89638","89521","89484","89174","88554","88384","88432","88333","88320","88279","88265","88198","87803","87924","88010","88085","88147","88172","88349","88606","88809","88834","88903","88724","88696","88901","89020","89018","89102","89225","89501","89669","89689","89672","89820","89968","89992","90101","90254","90321","90327","90462","90283","90227","90182","90026","89905","89754","89391","89194","88934","88852","88854","88577","88350","88212","88082","87722","87299","87354","87442","87404","87329","87336","87473","87397","87301","87215","87193","86992","86958","86996","87055","87148","87147","87183","87405","87385","87446","87471","87474","87468","87456","87525","87530","87678","87859","88115","88677","88706","88642","88615","88611","88534","88531","88549","88422","88484","88440","88441","88381","88313","88273","88190","88146","88047","88021","87971","87675","87531","87450","87477","87496","87521","87517","87613","87618","87524","87568","87609","87555","87656","87739","87800","87836","87896","88011","88212","88045","88070","88106","88099","87948","87902","88051","88104","88100","88029","87917","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"흥덕구","세대수[세대]","세대","140121","140067","139909","139942","139911","139819","139421","138889","138358","137983","137678","137400","137163","136622","136436","136089","135354","135139","134938","134682","133961","132987","131859","130918","130622","130318","130239","130181","130017","129692","129314","128235","127396","126957","126836","126564","126077","125773","125730","125656","125687","125817","125927","125667","125446","124933","124607","124483","124192","123915","123699","123659","123572","123290","122832","122547","121915","121161","120869","120847","120847","120592","120261","119505","119217","119192","118888","118522","118163","117197","116391","115995","115381","114858","114477","114080","113648","112819","112415","111700","111488","111272","110761","110557","110331","109924","109293","108699","108627","108557","108334","107982","107857","107877","107755","107633","107372","107164","106959","106840","106735","106599","106482","106486","106372","106284","106191","106119","105795","105393","105126","104920","104694","104560","104421","104338","104245","104159","103999","103861","103686","103507","103300","103102","102853","102276","102066","101846","101572","100816","100718","100682","100597","100411","100445","100540","100578","100569","100471","100417","165128","165020","165130","165166","164950","164697","164687","164782","164814","164688","164545","164482","164504","164119","163884","163673","163311","163019","162752","162475","162308","161991","161693","161382","161069","160866","160748","160511","160224","159866","159653","159419","159258","158961","158791","158592","158467","158295","158057","157659","157451","157018",
