"행정구역별","각세별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년",
"전국","29세","시도간전입","","68350","66106","65269","67326","74729","70519","64787","64566","62186","63623","66638","66348","69758","80405","87080","89727","89033","85141","87935","89993","85777","86604","98137","95107","96603",
"전국","29세","시도간전출","","68350","66106","65269","67326","74729","70519","64787","64566","62186","63623","66638","66348","69758","80405","87080","89727","89033","85141","87935","89993","85777","86604","98137","95107","96603",
"전국","30세","총전입","","177241","181161","177906","173932","185024","186520","167908","165516","163020","171230","179171","192559","206839","224723","235006","239959","221738","225322","233837","245068","242281","247558","275005","277692","286100",
"전국","30세","총전출","","177241","181161","177906","173932","185024","186520","167908","165516","163020","171230","179171","192559","206839","224723","235006","239959","221738","225322","233837","245068","242281","247558","275005","277692","286100",
"전국","30세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","30세","시군구내","","52936","56165","54634","53590","58026","59827","53188","52759","51288","55485","58122","62354","67123","71387","76740","75973","70797","72023","74391","80223","78333","80454","91900","95319","95808",
"전국","30세","시군구간전입","","59032","60493","59714","57566","61435","62154","53905","52444","51491","53216","55852","60166","65420","70928","74517","77708","72528","74441","76653","80640","80519","81935","91814","91473","95669",
"전국","30세","시군구간전출","","59032","60493","59714","57566","61435","62154","53905","52444","51491","53216","55852","60166","65420","70928","74517","77708","72528","74441","76653","80640","80519","81935","91814","91473","95669",
"전국","30세","시도간전입","","65273","64503","63558","62776","65563","64539","60815","60313","60241","62529","65197","70039","74296","82408","83749","86278","78413","78858","82793","84205","83429","85169","91291","90900","94623",
"전국","30세","시도간전출","","65273","64503","63558","62776","65563","64539","60815","60313","60241","62529","65197","70039","74296","82408","83749","86278","78413","78858","82793","84205","83429","85169","91291","90900","94623",
"전국","31세","총전입","","173809","179438","172231","154209","172245","177059","158982","162204","163168","168230","188943","207289","214420","216065","229739","212259","208439","216063","225209","246080","249456","238710","265567","262636","264037",
"전국","31세","총전출","","173809","179438","172231","154209","172245","177059","158982","162204","163168","168230","188943","207289","214420","216065","229739","212259","208439","216063","225209","246080","249456","238710","265567","262636","264037",
"전국","31세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","31세","시군구내","","52209","57062","54067","48102","55254","57525","51816","53148","52954","55886","62962","69177","71106","70173","76366","69068","68495","70533","74239","82855","83887","79922","90624","92819","90988",
"전국","31세","시군구간전입","","59296","60722","58615","51410","57689","59136","51520","51902","52069","52887","59474","64977","68345","68593","74070","68724","67990","71436","73648","81112","82647","79231","88986","85984","87550",
"전국","31세","시군구간전출","","59296","60722","58615","51410","57689","59136","51520","51902","52069","52887","59474","64977","68345","68593","74070","68724","67990","71436","73648","81112","82647","79231","88986","85984","87550",
"전국","31세","시도간전입","","62304","61654","59549","54697","59302","60398","55646","57154","58145","59457","66507","73135","74969","77299","79303","74467","71954","74094","77322","82113","82922","79557","85957","83833","85499",
"전국","31세","시도간전출","","62304","61654","59549","54697","59302","60398","55646","57154","58145","59457","66507","73135","74969","77299","79303","74467","71954","74094","77322","82113","82922","79557","85957","83833","85499",
"전국","32세","총전입","","169535","173241","153136","142407","160648","166695","154558","160908","159780","175946","200968","213267","205442","206087","202208","198573","200146","206444","226114","251138","238423","230286","263006","250568","256036",
"전국","32세","총전출","","169535","173241","153136","142407","160648","166695","154558","160908","159780","175946","200968","213267","205442","206087","202208","198573","200146","206444","226114","251138","238423","230286","263006","250568","256036",
"전국","32세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","32세","시군구내","","52397","56659","48697","45363","52588","55207","51276","53889","52942","59647","68880","73000","69536","68743","68872","66147","67384","69886","76795","87500","82884","79272","92444","90937","90694",
"전국","32세","시군구간전입","","58455","58999","52443","47734","53567","55597","49982","51675","50858","55321","63018","66732","64742","65145","64398","63946","65442","67976","73923","82564","78528","75614","87118","80788","83883",
"전국","32세","시군구간전출","","58455","58999","52443","47734","53567","55597","49982","51675","50858","55321","63018","66732","64742","65145","64398","63946","65442","67976","73923","82564","78528","75614","87118","80788","83883",
"전국","32세","시도간전입","","58683","57583","51996","49310","54493","55891","53300","55344","55980","60978","69070","73535","71164","72199","68938","68480","67320","68582","75396","81074","77011","75400","83444","78843","81459",
"전국","32세","시도간전출","","58683","57583","51996","49310","54493","55891","53300","55344","55980","60978","69070","73535","71164","72199","68938","68480","67320","68582","75396","81074","77011","75400","83444","78843","81459",
"전국","33세","총전입","","158406","152712","142393","131532","149035","159405","150850","155021","164714","184194","204137","201964","196447","179202","186800","186704","190496","208160","227470","240213","227378","225574","241007","223577","226724",
"전국","33세","총전출","","158406","152712","142393","131532","149035","159405","150850","155021","164714","184194","204137","201964","196447","179202","186800","186704","190496","208160","227470","240213","227378","225574","241007","223577","226724",
"전국","33세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","33세","시군구내","","49835","50563","46457","42955","49534","54364","51503","53558","56113","63920","71375","70273","68415","61423","65529","63890","66445","72562","79900","85457","80551","79415","86012","82768","82502",
