"행정구역별(시도)","가구주의 연령별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년",
"광주광역시","80~84세","기타","","2667","2726","2790","2601","2440","2442","2449","2303","2236","2160","1985","1818","1647","1476","1299","1145","1138","1063","1016","970","921","877","792","716","651","595",
"광주광역시","80~84세","1인 가구","","8944","8911","8873","8296","7212","6531","6150","5751","5277","4811","4466","4268","3997","3766","3502","3319","2954","2645","2414","2180","1949","1716","1528","1346","1188","1056",
"광주광역시","80~84세","비친족가구","","191","182","174","170","175","165","134","111","95","76","59","77","60","48","37","26","18","17","17","16","16","8","8","8","7","7",
"광주광역시","85세이상","계","","13930","12774","11601","10267","8984","7907","7068","6343","5899","5532","5023","4371","3938","3607","3239","2836","2553","2189","1927","1733","1531","1359","1225","1103","978","866",
"광주광역시","85세이상","부부","","3202","2920","2637","2292","1994","1758","1545","1327","1167","1031","971","855","780","734","682","626","572","491","433","391","347","271","247","225","202","183",
"광주광역시","85세이상","부부+미혼자녀","","298","267","236","197","164","145","131","110","94","87","70","70","62","55","49","41","27","24","22","21","20","20","19","17","14","13",
"광주광역시","85세이상","부+미혼자녀","","116","105","93","72","62","56","48","48","45","38","36","24","23","21","17","16","13","11","10","9","8","18","17","13","12","10",
"광주광역시","85세이상","모+미혼자녀","","408","370","334","278","230","201","187","156","136","130","126","104","88","78","66","51","54","45","38","32","27","28","24","20","17","14",
"광주광역시","85세이상","기타","","2227","2081","1932","1682","1530","1443","1368","1307","1240","1184","1062","919","811","724","631","525","549","490","455","429","412","389","350","315","277","244",
"광주광역시","85세이상","1인 가구","","7473","6845","6203","5598","4883","4210","3693","3313","3144","2988","2698","2390","2166","1987","1788","1573","1324","1115","956","839","706","623","559","504","448","395",
"광주광역시","85세이상","비친족가구","","206","186","166","148","121","94","96","82","73","74","60","9","8","8","6","4","14","13","13","12","11","10","9","9","8","7",
"광주광역시","65세이상","계","","154822","146919","138966","130577","122868","115877","109789","105431","101268","96625","92133","87425","82975","78596","74397","71232","68172","65264","62155","58749","55497","52192","49034","45837","42802","40105",
"광주광역시","65세이상","부부","","54597","51645","48669","46454","43780","40917","38138","36023","34061","32023","30576","29485","27985","26475","25033","23955","22701","21703","20617","19433","18302","17147","16031","14895","13813","12833",
"광주광역시","65세이상","부부+미혼자녀","","13015","12459","11882","11187","10935","10806","10370","10203","9954","9692","9462","9002","8513","8073","7673","7404","7201","7068","6849","6560","6277","5872","5595","5271","4960","4683",
"광주광역시","65세이상","부+미혼자녀","","2156","2037","1912","1758","1630","1581","1518","1484","1451","1405","1328","1163","1065","975","887","815","677","647","612","570","528","565","525","478","437","398",
"광주광역시","65세이상","모+미혼자녀","","6836","6469","6100","5525","5248","5061","4736","4523","4285","4027","3848","3495","3323","3155","2997","2876","2736","2635","2509","2368","2228","2386","2228","2062","1901","1750",
"광주광역시","65세이상","기타","","15789","15631","15470","14904","14891","15449","16004","16324","16576","16616","15921","13810","13159","12512","11895","11414","12259","11982","11675","11299","10952","10636","10097","9566","9065","8637",
"광주광역시","65세이상","1인 가구","","60858","57270","53681","49597","45313","41106","38186","36182","34331","32334","30587","30240","28724","27218","25742","24616","22425","21060","19724","18354","17049","15427","14404","13418","12487","11668",
