"A By Administrative District",Y2025 2025
"52210 Gimje-si",44463
"52710 Wanju-gun",50263
"52720 Jinan-gun",13812
"52730 Muju-gun",13009
"52740 Jangsu-gun",11732
"52750 Imsil-gun",14796
"52770 Sunchang-gun",15030
"52790 Gochang-gun",28425
"52800 Buan-gun",27250
"46 Jeollanam-do",913284
"46110 Mokpo-si",102623
"46130 Yeosu-si",127406
"46150 Suncheon-si",127713
"46170 Naju-si",60162
"46230 Gwangyang-si",73307
"46710 Damyang-gun",23941
"46720 Gokseong-gun",15844
"46730 Gurye-gun",13423
"46770 Goheung-gun",35082
"46780 Boseong-gun",21694
"46790 Hwasun-gun",31606
"46800 Jangheung-gun",19681
"46810 Gangjin-gun",18117
"46820 Haenam-gun",34369
"46830 Yeongam-gun",28342
"46840 Muan-gun",46419
"46860 Hampyeong-gun",17579
"46870 Yeonggwang-gun",28579
"46880 Jangseong-gun",23534
"46890 Wando-gun",25091
"46900 Jindo-gun",16342
"46910 Sinan-gun",22430
"47 Gyeongsangbuk-do",1295685
"47110 Pohang-si",238639
"47111 Nam-gu",108623
"47113 Buk-gu",130016
"47130 Gyeongju-si",126452
"47150 Gimcheon-si",69098
"47170 Andong-si",80964
"47190 Gumi-si",193084
"47210 Yeongju-si",51283
"47230 Yeongcheon-si",53903
"47250 Sangju-si",48776
"47280 Mungyeong-si",36039
"47290 Gyeongsan-si",131848
"47730 Uiseong-gun",29065
"47750 Cheongsong-gun",13934
"47760 Yeongyang-gun",9142
"47770 Yeongdeok-gun",19389
"47820 Cheongdo-gun",23511
"47830 Goryeong-gun",17343
"47840 Seongju-gun",23950
"47850 Chilgok-gun",53506
"47900 Yecheon-gun",27980
"47920 Bonghwa-gun",16502
"47930 Uljin-gun",25814
"47940 Ulleung-gun",5463
"48 Gyeongsangnam-do",1548615
"48120 Changwon-si",462257
"48121 Uichang-gu",97655
"48123 Seongsan-gu",109601
"48125 Masanhappo-gu",86635
"48127 Masanhoewon-gu",82902
"48129 Jinhae-gu",85464
"48170 Jinju-si",162183
"48220 Tongyeong-si",59252
"48240 Sacheon-si",56028
"48245 Sacheon namyang branch office ",0
"48250 Gimhae-si",238676
"48252 Jangyu branch office",0
"48270 Miryang-si",54109
"48310 Geoje-si",107012
"48330 Yangsan-si",165890
"48332 Yangsan-si ungsang branch office",0
"48720 Uiryeong-gun",14793
"48730 Haman-gun",29912
"48740 Changnyeong-gun",31769
"48820 Goseong-gun",26339
"48840 Namhae-gun",22755
"48850 Ha-dong",23252
"48860 Sancheong-gun",19556
"48870 Hamyang-gun",20242
"48880 Geochang-gun",31183
"48890 Hapcheon-gun",23407
"50 Jeju-do",315462
"50110 Jeju-si",226663
"50130 Seogwipo-si",88799
