"행정구역별(시도)","가구주의 연령별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년",
"전국","합계","계","","22388821","22179969","21970523","21663978","21272581","20730614","20220447","19876352","19570670","19281443","19012895","18704975","18388488","18118513","17879317","17494884","17167884","16883417","16601723","16322100","16038858","15732068","15433649","15109514","14775329","14507010",
"전국","합계","1인","","8155636","7940723","7713031","7388942","6989675","6476735","6046695","5771150","5544152","5332365","5137971","4964662","4756220","4563342","4379916","4174073","3963334","3766306","3571412","3377666","3185621","3001257","2818062","2628346","2438225","2255298",
"전국","합계","2인","","6610895","6470222","6328392","6198639","6005098","5796910","5589994","5383228","5195244","5042516","4939845","4788186","4631438","4481918","4345788","4183385","4036033","3906653","3774890","3646564","3523633","3365218","3216187","3061441","2906274","2763836",
"전국","합계","3인","","4152322","4170260","4189808","4179619","4180288","4206379","4213039","4195322","4169561","4134655","4078388","4017838","3949195","3888540","3834724","3739037","3654556","3583009","3510166","3439463","3365447","3294256","3229647","3160493","3089704","3033749",
"전국","합계","4인","","2767284","2855535","2950509","3059080","3193722","3280989","3332538","3422465","3500020","3564014","3617560","3671990","3750597","3841074","3932023","3980465","4059147","4136487","4217118","4293884","4363856","4401641","4431997","4455582","4473023","4509780",
"전국","합계","5인이상","","702684","743229","788783","837698","903798","969601","1038181","1104187","1161693","1207893","1239131","1262299","1301038","1343639","1386866","1417924","1454814","1490962","1528137","1564523","1600301","1669696","1737756","1803652","1868103","1944347",
"전국","24세이하","계","","577206","597779","618404","628129","646636","635520","572697","551375","547564","540487","525062","514964","505940","499791","496827","496973","477505","472469","480044","492454","499658","500082","490557","472700","453574","435572",
"전국","24세이하","1인","","511684","526341","540298","541396","554184","542525","480880","458582","454472","444467","421193","406760","389791","375089","362678","352333","331750","321556","319935","321266","318914","312376","299335","281228","262567","244726",
"전국","24세이하","2인","","48526","52339","56560","62181","65278","64738","62744","62676","62597","63792","69153","73513","81045","88985","97552","106871","107620","111350","118054","126153","133149","135804","135918","133751","131149","128769",
"전국","24세이하","3인","","11812","13264","14943","16829","18555","19267","19874","20737","21240","22281","23772","23821","24211","24736","25445","26370","26731","27837","29698","31899","33796","36755","39054","40647","42044","43515",
