"","기대수명","2024","2023","2022","2021","2020"
"1","전체",83.7,83.5,82.7,83.6,83.5
"2","남자",80.8,80.6,79.9,80.6,80.5
"3","여자",86.6,86.4,85.6,86.6,86.5
