"","기대수명","시점","년"
"1","전체","2024",83.7
"2","전체","2023",83.5
"3","전체","2022",82.7
"4","전체","2021",83.6
"5","전체","2020",83.5
"6","남자","2024",80.8
"7","남자","2023",80.6
"8","남자","2022",79.9
"9","남자","2021",80.6
"10","남자","2020",80.5
"11","여자","2024",86.6
"12","여자","2023",86.4
"13","여자","2022",85.6
"14","여자","2021",86.6
"15","여자","2020",86.5
